μm	마이크로미터
mm	밀리미터
cm	센치미터
km	킬로미터
mm²	평방밀리미터
cm²	평방센치미터
dm²	평방데시미터
m²	평방미터
km²	평방킬로미터
mm³	세제곱 밀리미터
cm³	세제곱 센치미터
dm³	세제곱 데시미터
m³	세제곱 미터
km³	세제곱 킬로미터
μg	마이크로그램
mg	밀리그램
kg	킬로그램
msec	밀리초
sec	초
hr	시간
m/s	미터매초
km/h	킬로미터매시
mph	마일시간
bit/s	비트매초
byte/s	바이트매초
%	퍼센트
°	도
℃	섭씨
℉	화씨
kcal	킬로칼로리
fl.oz	액량 온스
F/m	파라미터
g/l	그램매리터
g/mL	그램매밀리미터
hz	헤르츠
khz	킬로헤르츠
mhz	메가헤르츠
ghz	기가헤르츠
km/h	길로미터매시
kw·h	킬로와트시
ml	밀리리터
mg/ml	밀리그램매밀리리터
mg/l	밀리그램매리터
mA	밀리 암페어
mA⋅h	밀리 암페어시
mol	몰
Ω·m	옴표
S/m	일미터당 일센스
tsp	티스푼
μA	마이크로 암페어
Ω	오메가
kPa	킬로파스칼
mmHg	밀리미터 수은주
Vol	볼륨
cc	입방 센티미터
rpm	분당 횟 수
bpm	분당 박자 수
px	픽셀
V	볼트
kV	킬로볼트
ha	헥타르
ac	에이커
ct	캐럿
L	리터
gal	갤런
mol	몰
pa	파스칼
mpa	메가파스칼
mA	밀리암페어
mAh	밀리암페어시
in	인치
ft	피트
yd	야드
nm	나노미터
m	미터
dm	데시미터
g	그램
KB	킬로바이트
MB	메가바이트
GB	기가바이트
TB	테라바이트
hp	마력
db	데시벨
J	줄
kJ	킬로줄
oz	온스
kw	킬로와트
min	분
sec	초
cal	칼로리
