加纳塞地	¢
玻利维亚玻利维亚诺	$b
乌拉圭比索	$U
美元	$
英镑	£
英镑	￡
元	¥
元	￥
泰铢	฿
柬埔寨瑞尔	៛
哥斯达黎加科隆	₡
尼日利亚奈拉	₦
朝鲜园	₩
以色列谢克尔	₪
越南东	₫
欧元	€
老挝基普	₭
蒙古图格里克	₮
古巴比索	₱
菲律宾比索	₱
乌克兰格里夫纳	₴
印度卢比	₹
土耳其里拉	₺
卢布	₽
白俄罗斯卢布	Br
委内瑞拉玻利瓦尔	Bs
伯利兹元	BZ$
巴拿马巴尔博亚	B/.
尼加拉瓜科尔多瓦	C$
瑞士法郎	CHF
匈牙利福林	Ft
阿鲁巴盾	ƒ
巴拉圭瓜拉尼	Gs
牙买加元	J$
捷克克朗	Kč
波斯尼亚和黑塞哥维那可兑换马克	KM
克罗地亚库纳	kn
丹麦克朗	kr
罗马尼亚列伊	lei
阿尔巴尼亚列克	Lek
洪都拉斯伦皮拉	L
莫桑比克梅蒂卡尔	MT
新台币	NT$
博茨瓦纳普拉	P
危地马拉格查尔	Q
巴西雷亚尔	R$
多米尼加共和国比索	RD$
马来西亚令吉	RM
印尼盾	Rp
巴基斯坦卢比	₨
毛里求斯卢比	₨
南非兰特	R
秘鲁索尔	S/.
索马里先令	S
特立尼达和多巴哥元	TT$
津巴布韦元	Z$
波兰兹罗提	zł
马其顿代纳尔	ден
塞尔维亚第纳尔	Дин.
乌兹别克斯坦索姆	лв
保加利亚列弗	лв
吉尔吉斯斯坦索姆	лв
哈萨克斯坦腾格	лв
